非洲	Afrika
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
喫嗰	Lebensmittel
1月1號	1. Januar
1月2號	2. Januar
1920年	1920
1月3號	3. Januar
1919年	1919
1921年	1921
1922年	1922
1月4號	4. Januar
1923年	1923
1924年	1924
1月5號	5. Januar
1月6號	6. Januar
1月7號	7. Januar
1月8號	8. Januar
1月9號	9. Januar
1月10號	10. Januar
1月11號	11. Januar
1月12號	12. Januar
1月13號	13. Januar
1月14號	14. Januar
1月15號	15. Januar
1月16號	16. Januar
1月17號	17. Januar
1月18號	18. Januar
1月19號	19. Januar
1月20號	20. Januar
工業革命	Industrielle Revolution
1月21號	21. Januar
1月22號	22. Januar
1月23號	23. Januar
羅馬帝國	Römische Kaiserzeit
1月24號	24. Januar
1月25號	25. Januar
1月26號	26. Januar
微軟	Microsoft
1月27號	27. Januar
1月28號	28. Januar
1月29號	29. Januar
1月30號	30. Januar
1月31號	31. Januar
12月2號	2. Dezember
12月1號	1. Dezember
12月3號	3. Dezember
12月7號	7. Dezember
12月5號	5. Dezember
12月8號	8. Dezember
12月10號	10. Dezember
12月6號	6. Dezember
12月9號	9. Dezember
12月4號	4. Dezember
2月1號	1. Februar
2月2號	2. Februar
2月3號	3. Februar
庫魯夫市	Kurów
2月4號	4. Februar
2月5號	5. Februar
2月6號	6. Februar
2月7號	7. Februar
2月8號	8. Februar
2月9號	9. Februar
2月10號	10. Februar
化學	Chemie
2月14號	14. Februar
2月13號	13. Februar
2月15號	15. Februar
2月11號	11. Februar
2月12號	12. Februar
2月19號	19. Februar
2月17號	17. Februar
2月16號	16. Februar
2月18號	18. Februar
2月20號	20. Februar
2月21號	21. Februar
2月22號	22. Februar
2月23號	23. Februar
2月24號	24. Februar
2月25號	25. Februar
2月26號	26. Februar
27年	27
2月27號	27. Februar
2月28號	28. Februar
12月11號	11. Dezember
2月29號	29. Februar
12月12號	12. Dezember
12月13號	13. Dezember
12月14號	14. Dezember
12月15號	15. Dezember
3月2號	2. März
3月3號	3. März
3月5號	5. März
3月1號	1. März
3月7號	7. März
3月8號	8. März
3月4號	4. März
3月10號	10. März
3月11號	11. März
3月6號	6. März
3月13號	13. März
3月9號	9. März
3月12號	12. März
3月15號	15. März
3月14號	14. März
C++	C++
12月16號	16. Dezember
12月17號	17. Dezember
3月16號	16. März
3月17號	17. März
3月18號	18. März
3月19號	19. März
1989年	1989
1988年	1988
3月20號	20. März
1987年	1987
1986年	1986
1985年	1985
1984年	1984
3月21號	21. März
1983年	1983
3月22號	22. März
1982年	1982
1981年	1981
12月18號	18. Dezember
1980年	1980
3月23號	23. März
12月19號	19. Dezember
3月24號	24. März
3月25號	25. März
12月20號	20. Dezember
3月26號	26. März
3月27號	27. März
3月28號	28. März
3月29號	29. März
3月30號	30. März
3月31號	31. März
1970年	1970
1971年	1971
1972年	1972
1973年	1973
1974年	1974
1975年	1975
1976年	1976
1977年	1977
1978年	1978
1979年	1979
1969年	1969
4月15號	15. April
4月13號	13. April
4月12號	12. April
4月14號	14. April
4月11號	11. April
4月10號	10. April
4月8號	8. April
4月9號	9. April
4月7號	7. April
4月6號	6. April
4月5號	5. April
4月4號	4. April
4月3號	3. April
4月1號	1. April
4月2號	2. April
夏寶太空望遠鏡	Hubble-Weltraumteleskop
4月16號	16. April
4月17號	17. April
4月18號	18. April
4月19號	19. April
4月20號	20. April
4月21號	21. April
4月22號	22. April
4月23號	23. April
4月24號	24. April
4月25號	25. April
4月26號	26. April
4月27號	27. April
4月28號	28. April
4月29號	29. April
4月30號	30. April
天然衛星	Satellit (Astronomie)
5月1號	1. Mai
5月2號	2. Mai
5月3號	3. Mai
5月4號	4. Mai
5月5號	5. Mai
5月6號	6. Mai
5月7號	7. Mai
5月8號	8. Mai
5月9號	9. Mai
5月10號	10. Mai
5月11號	11. Mai
5月12號	12. Mai
5月13號	13. Mai
5月14號	14. Mai
5月15號	15. Mai
5月16號	16. Mai
5月17號	17. Mai
5月18號	18. Mai
5月19號	19. Mai
5月20號	20. Mai
5月21號	21. Mai
5月22號	22. Mai
5月23號	23. Mai
5月24號	24. Mai
5月25號	25. Mai
5月26號	26. Mai
5月27號	27. Mai
5月28號	28. Mai
5月29號	29. Mai
5月30號	30. Mai
5月31號	31. Mai
12月21號	21. Dezember
6月14號	14. Juni
6月15號	15. Juni
6月13號	13. Juni
6月10號	10. Juni
6月7號	7. Juni
6月11號	11. Juni
6月9號	9. Juni
6月12號	12. Juni
6月6號	6. Juni
6月8號	8. Juni
6月5號	5. Juni
6月3號	3. Juni
6月2號	2. Juni
6月1號	1. Juni
6月4號	4. Juni
12月22號	22. Dezember
1968年	1968
1967年	1967
1966年	1966
1965年	1965
1964年	1964
6月16號	16. Juni
6月30號	30. Juni
6月29號	29. Juni
6月28號	28. Juni
6月26號	26. Juni
6月25號	25. Juni
6月22號	22. Juni
6月27號	27. Juni
6月24號	24. Juni
6月20號	20. Juni
6月23號	23. Juni
6月19號	19. Juni
6月18號	18. Juni
6月21號	21. Juni
6月17號	17. Juni
12月23號	23. Dezember
7月15號	15. Juli
7月13號	13. Juli
7月12號	12. Juli
7月10號	10. Juli
7月9號	9. Juli
7月14號	14. Juli
7月8號	8. Juli
7月7號	7. Juli
7月6號	6. Juli
7月5號	5. Juli
7月2號	2. Juli
7月4號	4. Juli
7月3號	3. Juli
7月1號	1. Juli
7月11號	11. Juli
12月24號	24. Dezember
7月31號	31. Juli
7月30號	30. Juli
7月29號	29. Juli
7月28號	28. Juli
7月27號	27. Juli
7月25號	25. Juli
7月24號	24. Juli
7月23號	23. Juli
7月26號	26. Juli
7月22號	22. Juli
7月19號	19. Juli
7月21號	21. Juli
7月20號	20. Juli
7月17號	17. Juli
7月18號	18. Juli
7月16號	16. Juli
腳球	Fußball
音樂劇	Musical
12月25號	25. Dezember
1963年	1963
12月26號	26. Dezember
1962年	1962
8月14號	14. August
8月15號	15. August
8月13號	13. August
8月12號	12. August
8月11號	11. August
8月10號	10. August
8月8號	8. August
8月7號	7. August
8月9號	9. August
8月5號	5. August
8月4號	4. August
8月2號	2. August
8月3號	3. August
8月6號	6. August
8月1號	1. August
12月27號	27. Dezember
潛水艇	U-Boot
8月16號	16. August
8月29號	29. August
8月28號	28. August
8月30號	30. August
8月25號	25. August
8月26號	26. August
8月23號	23. August
8月27號	27. August
8月21號	21. August
8月20號	20. August
8月24號	24. August
8月18號	18. August
8月17號	17. August
8月22號	22. August
8月19號	19. August
8月31號	31. August
麥可·傑克遜	Michael Jackson
12月28號	28. Dezember
9月15號	15. September
9月14號	14. September
9月13號	13. September
9月12號	12. September
9月8號	8. September
9月11號	11. September
9月7號	7. September
9月10號	10. September
9月5號	5. September
9月4號	4. September
9月9號	9. September
9月2號	2. September
9月6號	6. September
9月1號	1. September
9月3號	3. September
12月29號	29. Dezember
9月30號	30. September
9月29號	29. September
9月28號	28. September
9月27號	27. September
9月26號	26. September
9月25號	25. September
9月23號	23. September
9月22號	22. September
9月24號	24. September
9月21號	21. September
9月20號	20. September
9月18號	18. September
9月17號	17. September
9月19號	19. September
9月16號	16. September
12月30號	30. Dezember
12月31號	31. Dezember
10月1號	1. Oktober
10月15號	15. Oktober
10月12號	12. Oktober
10月10號	10. Oktober
10月14號	14. Oktober
10月9號	9. Oktober
10月8號	8. Oktober
10月13號	13. Oktober
10月7號	7. Oktober
10月11號	11. Oktober
10月6號	6. Oktober
10月4號	4. Oktober
10月5號	5. Oktober
10月3號	3. Oktober
10月2號	2. Oktober
10月31號	31. Oktober
10月30號	30. Oktober
10月29號	29. Oktober
10月28號	28. Oktober
10月26號	26. Oktober
10月25號	25. Oktober
10月24號	24. Oktober
10月27號	27. Oktober
10月22號	22. Oktober
10月23號	23. Oktober
10月20號	20. Oktober
10月21號	21. Oktober
10月19號	19. Oktober
10月17號	17. Oktober
10月16號	16. Oktober
10月18號	18. Oktober
11月15號	15. November
11月14號	14. November
11月13號	13. November
11月12號	12. November
11月11號	11. November
11月10號	10. November
11月7號	7. November
11月8號	8. November
11月9號	9. November
11月6號	6. November
11月5號	5. November
11月4號	4. November
11月3號	3. November
11月2號	2. November
11月1號	1. November
男仔子	Junge
11月30號	30. November
11月29號	29. November
11月28號	28. November
11月27號	27. November
11月26號	26. November
11月25號	25. November
11月23號	23. November
11月24號	24. November
11月21號	21. November
11月20號	20. November
11月22號	22. November
11月19號	19. November
11月18號	18. November
11月17號	17. November
11月16號	16. November
女仔子	Mädchen
沙利門大帝	Karl der Große
紅色	Rot
火	Feuer
尼羅河	Nil
1961年	1961
1960年	1960
亞馬孫河	Amazonas
天狗喫日頭	Sonnenfinsternis
大學	Universität
Wikipedia:沙盤	Wikipedia:Spielwiese
屋	Haus
代數	Algebra
地圖	Karte (Kartografie)
江	Fluss
俄舍斯科	Osasco
同海機場	Flughafen Dong Hoi
望遠鏡	Teleskop
森林	Wald
分類:1888年	Kategorie:1888
濟酋余化盧	Zichyújfalu
分類:1481年過世	Kategorie:Gestorben 1481
分類:1421年出世	Kategorie:Geboren 1421
分類:1421年	Kategorie:1421
分類:1481年	Kategorie:1481
孔子	Konfuzius
科賓·布魯	Corbin Bleu
分類:數學	Kategorie:Mathematik
分類:1888年出世	Kategorie:Geboren 1888
1488年	1488
歐元	Euro
美金	US-Dollar
地中海	Mittelmeer
基督教	Christentum
1004年	1004
西雅圖	Seattle
禾	Reis
大洲	Kontinent
葡萄牙語	Portugiesische Sprache
慕斯他化·克麥·阿塔突	Mustafa Kemal Atatürk
1948年	1948
1949年	1949
黄现璠	Huang Xianfan
1956年	1956
1200年	1200
1201年	1201
1202年	1202
1203年	1203
1204年	1204
1205年	1205
1206年	1206
1941年	1941
1207年	1207
1208年	1208
1945年	1945
1209年	1209
1210年	1210
1211年	1211
1958年	1958
1212年	1212
1926年	1926
1213年	1213
1947年	1947
1944年	1944
1952年	1952
日语	Japanische Sprache
百科全書	Enzyklopädie
封面	Wikipedia:Hauptseite
1959年	1959
1957年	1957
電容	Kondensator (Elektrotechnik)
晶體管	Transistor
1214年	1214
1215年	1215
1216年	1216
1217年	1217
1218年	1218
1219年	1219
1220年	1220
1221年	1221
1222年	1222
1223年	1223
1224年	1224
1225年	1225
1226年	1226
1227年	1227
1228年	1228
1229年	1229
1230年	1230
長江	Jangtsekiang
1231年	1231
1232年	1232
1233年	1233
1234年	1234
1235年	1235
1236年	1236
1237年	1237
1238年	1238
1239年	1239
1240年	1240
1241年	1241
1242年	1242
1243年	1243
1244年	1244
1245年	1245
1246年	1246
喜馬拉雅山脈	Himalaya
安底斯山脈	Anden
1247年	1247
1248年	1248
裡海	Kaspisches Meer
1249年	1249
1250年	1250
1251年	1251
1252年	1252
1254年	1254
1255年	1255
1256年	1256
1257年	1257
1258年	1258
1259年	1259
1260年	1260
1261年	1261
1262年	1262
1263年	1263
1264年	1264
1265年	1265
1266年	1266
1267年	1267
1268年	1268
1269年	1269
1270年	1270
1271年	1271
1272年	1272
1273年	1273
1274年	1274
1275年	1275
1276年	1276
1277年	1277
1278年	1278
1279年	1279
1280年	1280
1281年	1281
1282年	1282
1283年	1283
1284年	1284
1285年	1285
1286年	1286
1287年	1287
1288年	1288
1289年	1289
1290年	1290
1291年	1291
1292年	1292
1293年	1293
1294年	1294
1295年	1295
1296年	1296
1297年	1297
1298年	1298
1299年	1299
答利	Salvador Dalí
梵高	Vincent van Gogh
葛飾北齋	Katsushika Hokusai
米開朗琪羅	Michelangelo
畢加索	Pablo Picasso
藍郎特	Rembrandt van Rijn
1300年	1300
1301年	1301
1302年	1302
1303年	1303
1304年	1304
1305年	1305
安徒生	Hans Christian Andersen
拜倫	George Gordon Byron
塞萬提斯	Miguel de Cervantes
1306年	1306
1307年	1307
1308年	1308
1309年	1309
1310年	1310
1311年	1311
1312年	1312
1313年	1313
1314年	1314
1315年	1315
1316年	1316
1317年	1317
1318年	1318
1319年	1319
1320年	1320
1321年	1321
1322年	1322
1323年	1323
1324年	1324
1325年	1325
1326年	1326
1327年	1327
1328年	1328
麥加	Mekka
毛澤東	Mao Zedong
西安	Xi’an
被服	Decke (Textilie)
歌德	Johann Wolfgang von Goethe
屄	Vagina
V·禍·魂得他	V wie Vendetta (Film)
哲學	Philosophie
1329年	1329
分類:快速刪吥	Kategorie:Wikipedia:Schnelllöschen
1330年	1330
1331年	1331
1332年	1332
1333年	1333
1334年	1334
1335年	1335
1336年	1336
1337年	1337
1338年	1338
1339年	1339
1340年	1340
1341年	1341
1342年	1342
1343年	1343
1344年	1344
1345年	1345
1346年	1346
1347年	1347
1348年	1348
1349年	1349
1350年	1350
茶	Tee
馬可·波羅	Marco Polo
1351年	1351
波特蘭 (奧勒岡州)	Portland (Oregon)
1400年	1400
1401年	1401
1352年	1352
1402年	1402
1353年	1353
1403年	1403
1354年	1354
1404年	1404
1355年	1355
1405年	1405
1500年	1500
1406年	1406
1356年	1356
1501年	1501
1407年	1407
1357年	1357
1502年	1502
1408年	1408
1358年	1358
1503年	1503
1359年	1359
1409年	1409
1504年	1504
1360年	1360
1410年	1410
1505年	1505
1506年	1506
1411年	1411
1361年	1361
1507年	1507
1412年	1412
1362年	1362
1413年	1413
1508年	1508
1363年	1363
1509年	1509
1414年	1414
1510年	1510
1415年	1415
1364年	1364
共產主義	Kommunismus
1511年	1511
1416年	1416
1365年	1365
1512年	1512
1417年	1417
1366年	1366
1513年	1513
1418年	1418
1367年	1367
1514年	1514
1419年	1419
資本主義	Kapitalismus
1368年	1368
1515年	1515
1420年	1420
1369年	1369
1516年	1516
1421年	1421
1370年	1370
1371年	1371
1372年	1372
1373年	1373
1422年	1422
1517年	1517
1423年	1423
1518年	1518
1374年	1374
1424年	1424
1375年	1375
1519年	1519
1376年	1376
1425年	1425
1520年	1520
1521年	1521
1377年	1377
1426年	1426
1522年	1522
1523年	1523
1427年	1427
1378年	1378
1524年	1524
1525年	1525
1428年	1428
1379年	1379
1526年	1526
1429年	1429
1380年	1380
1381年	1381
1382年	1382
1383年	1383
1430年	1430
1431年	1431
印第安納波利斯	Indianapolis
1384年	1384
1432年	1432
1385年	1385
1386年	1386
1433年	1433
1387年	1387
1434年	1434
1435年	1435
1388年	1388
1436年	1436
1389年	1389
1437年	1437
1390年	1390
1438年	1438
1391年	1391
1439年	1439
1392年	1392
1440年	1440
1393年	1393
1394年	1394
1395年	1395
1441年	1441
1396年	1396
1397年	1397
1442年	1442
1527年	1527
1528年	1528
1398年	1398
1443年	1443
1444年	1444
1529年	1529
1399年	1399
1445年	1445
1530年	1530
1446年	1446
1531年	1531
1447年	1447
1532年	1532
1448年	1448
蒙彼利埃	Montpellier
1533年	1533
1449年	1449
1534年	1534
1450年	1450
1535年	1535
1451年	1451
1536年	1536
1452年	1452
1537年	1537
1453年	1453
1538年	1538
1454年	1454
1539年	1539
1455年	1455
1540年	1540
睗著嗰惠尼根	Finnegans Wake
分類:天文	Kategorie:Astronomie
尤利西斯	Ulysses
1541年	1541
1456年	1456
1457年	1457
1542年	1542
1458年	1458
1543年	1543
1459年	1459
1544年	1544
1460年	1460
1545年	1545
1461年	1461
1546年	1546
1462年	1462
1547年	1547
1463年	1463
1548年	1548
1464年	1464
1549年	1549
1465年	1465
1550年	1550
1466年	1466
1551年	1551
1467年	1467
1468年	1468
1552年	1552
1469年	1469
1553年	1553
1470年	1470
1554年	1554
1471年	1471
1555年	1555
撒哈拉沙漠	Sahara
1472年	1472
1556年	1556
1473年	1473
1557年	1557
1474年	1474
1558年	1558
1475年	1475
1559年	1559
1476年	1476
1560年	1560
1477年	1477
1478年	1478
1561年	1561
1479年	1479
1562年	1562
1480年	1480
1563年	1563
1481年	1481
1564年	1564
1482年	1482
1565年	1565
1483年	1483
1566年	1566
1484年	1484
1567年	1567
1485年	1485
1486年	1486
1568年	1568
1487年	1487
1569年	1569
1570年	1570
1489年	1489
1571年	1571
1490年	1490
1572年	1572
1491年	1491
1573年	1573
1492年	1492
1574年	1574
1493年	1493
1575年	1575
荷馬	Homer
1494年	1494
1495年	1495
1496年	1496
1576年	1576
1497年	1497
1577年	1577
1498年	1498
1578年	1578
1499年	1499
1579年	1579
1580年	1580
1581年	1581
1582年	1582
1600年	1600
高斯	Carl Friedrich Gauß
1601年	1601
1583年	1583
1602年	1602
1584年	1584
1603年	1603
1585年	1585
1604年	1604
1586年	1586
1605年	1605
1587年	1587
1606年	1606
1607年	1607
1588年	1588
1608年	1608
1589年	1589
1609年	1609
1590年	1590
1610年	1610
1591年	1591
1611年	1611
1592年	1592
1612年	1612
1593年	1593
1613年	1613
1594年	1594
1614年	1614
1595年	1595
1615年	1615
1596年	1596
1616年	1616
1597年	1597
1617年	1617
1598年	1598
1618年	1618
1599年	1599
1619年	1619
1620年	1620
1621年	1621
1700年	1700
1701年	1701
1622年	1622
1623年	1623
1702年	1702
1624年	1624
1703年	1703
1704年	1704
1625年	1625
1705年	1705
1626年	1626
1627年	1627
1706年	1706
1628年	1628
1707年	1707
1708年	1708
1629年	1629
1630年	1630
1709年	1709
1631年	1631
1710年	1710
1632年	1632
1711年	1711
1633年	1633
1712年	1712
1634年	1634
1713年	1713
1800年	1800
1801年	1801
1714年	1714
1635年	1635
詹姆斯·喬伊斯	James Joyce
1802年	1802
1715年	1715
1636年	1636
1803年	1803
1637年	1637
1716年	1716
1638年	1638
1804年	1804
1717年	1717
1639年	1639
1805年	1805
1718年	1718
1640年	1640
1719年	1719
1806年	1806
1641年	1641
1720年	1720
1807年	1807
1642年	1642
1721年	1721
1808年	1808
1643年	1643
1722年	1722
1809年	1809
1644年	1644
1723年	1723
1810年	1810
1645年	1645
1724年	1724
20世紀	20. Jahrhundert
1811年	1811
1646年	1646
1725年	1725
1812年	1812
1647年	1647
1726年	1726
1813年	1813
21世紀	21. Jahrhundert
1648年	1648
1727年	1727
1814年	1814
1649年	1649
1728年	1728
1815年	1815
1650年	1650
1729年	1729
1816年	1816
19世紀	19. Jahrhundert
1651年	1651
1730年	1730
1817年	1817
1652年	1652
1731年	1731
1818年	1818
1653年	1653
1732年	1732
1819年	1819
1654年	1654
1733年	1733
1820年	1820
1655年	1655
1821年	1821
1734年	1734
1656年	1656
1822年	1822
1735年	1735
1657年	1657
1823年	1823
1736年	1736
1658年	1658
1737年	1737
1824年	1824
1659年	1659
1738年	1738
1825年	1825
1660年	1660
1739年	1739
1826年	1826
1661年	1661
1740年	1740
1827年	1827
18世紀	18. Jahrhundert
17世紀	17. Jahrhundert
16世紀	16. Jahrhundert
15世紀	15. Jahrhundert
14世紀	14. Jahrhundert
13世紀	13. Jahrhundert
12世紀	12. Jahrhundert
11世紀	11. Jahrhundert
享樂主義	Hedonismus
李白	Li Bai
圖書館	Bibliothek
唯物主義	Materialismus
玻爾	Niels Bohr
意識	Bewusstsein
生物技術	Biotechnologie
秦	Qin-Dynastie
北大西洋公約組織	NATO
居里夫人	Marie Curie
諾貝爾獎	Nobelpreis
秦始皇	Qin Shihuangdi
中東	Mittlerer Osten
伊麗莎白一世	Elisabeth I.
漢	Han-Dynastie
劉徹	Han Wudi
聖女貞德	Jeanne d’Arc
所霍利茲	Sophokles
托爾斯泰	Lew Nikolajewitsch Tolstoi
圖靈	Alan Turing
馬克思主義	Marxismus
凍嘴	Kuss
元	Yuan-Dynastie
伊戈·式査溫斯基	Igor Fjodorowitsch Strawinski
朱澤魄·渥帝	Giuseppe Verdi
拿可·卡帖	Jacques Cartier
哥倫布	Christoph Kolumbus
庫克船長	James Cook
伊本·巴杜他	Ibn Battuta
鄭和	Zheng He
大堡礁	Great Barrier Reef
巴拿馬運河	Panamakanal
晉	Jin-Dynastie (265–420)
南冰洋	Südlicher Ozean
司馬熾	Jin Huaidi
耳刀	Ohr
鼻公	Nase
眼睛	Auge
羊	Hausschaf
隋	Sui-Dynastie
宋	Song-Dynastie
忽必烈	Kublai Khan
娘	Mutter
雪	Schnee
爺	Vater
細伢子	Kind
1828年	1828
1829年	1829
1741年	1741
1662年	1662
1742年	1742
1830年	1830
1663年	1663
1831年	1831
1743年	1743
1664年	1664
1665年	1665
1744年	1744
1832年	1832
1666年	1666
1745年	1745
1833年	1833
1667年	1667
1746年	1746
運輸	Verkehr
1834年	1834
1668年	1668
1747年	1747
1835年	1835
1748年	1748
1836年	1836
1669年	1669
歐拉	Leonhard Euler
1670年	1670
1749年	1749
1837年	1837
1671年	1671
1750年	1750
1838年	1838
1672年	1672
1751年	1751
1839年	1839
1673年	1673
1752年	1752
1840年	1840
1674年	1674
1753年	1753
1841年	1841
1754年	1754
1675年	1675
1842年	1842
1755年	1755
1676年	1676
1843年	1843
1677年	1677
1756年	1756
1844年	1844
1678年	1678
1757年	1757
1845年	1845
1679年	1679
1758年	1758
1846年	1846
1680年	1680
1759年	1759
1847年	1847
1681年	1681
